ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10787889,HZ557205,12/19/2016 01:20:00 PM,045XX W GLADYS AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1131,011,24,26,03,1146330,1897973,2016,12/26/2016 03:47:26 PM,41.876018376,-87.738195508,"(41.876018376, -87.738195508)"
10787910,HZ556981,12/19/2016 10:08:00 AM,083XX S ELLIS AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,true,false,0632,006,8,44,04A,1184335,1850002,2016,12/26/2016 03:47:26 PM,41.743574495,-87.600158418,"(41.743574495, -87.600158418)"
10787921,HZ557063,12/19/2016 11:45:00 AM,057XX N BROADWAY,051A,ASSAULT,AGGRAVATED: HANDGUN,GAS STATION,false,false,2022,020,48,77,04A,1167278,1938038,2016,12/26/2016 03:47:26 PM,41.985534487,-87.660126814,"(41.985534487, -87.660126814)"
10788015,HZ557340,12/19/2016 02:30:00 PM,088XX S SAGINAW AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,true,false,0423,004,7,46,15,1195413,1846912,2016,12/26/2016 03:47:26 PM,41.734829103,-87.559670367,"(41.734829103, -87.559670367)"
10788055,HZ557290,12/19/2016 01:40:00 PM,025XX W ADAMS ST,031A,ROBBERY,ARMED: HANDGUN,VEHICLE NON-COMMERCIAL,false,false,1125,011,2,28,03,1159498,1898942,2016,12/26/2016 03:47:26 PM,41.878416674,-87.689820388,"(41.878416674, -87.689820388)"
10788056,HZ557032,12/19/2016 10:30:00 AM,051XX W GEORGE ST,051A,ASSAULT,AGGRAVATED: HANDGUN,SIDEWALK,true,false,2521,025,31,19,04A,1141627,1918797,2016,12/26/2016 03:47:26 PM,41.933249995,-87.754947962,"(41.933249995, -87.754947962)"
10788086,HZ557381,12/19/2016 03:07:00 PM,057XX W HURON ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,1511,015,29,25,04A,1137965,1904063,2016,12/26/2016 03:47:26 PM,41.892885186,-87.768762174,"(41.892885186, -87.768762174)"
10788136,HZ557483,12/19/2016 03:46:00 PM,012XX W 87TH ST,031A,ROBBERY,ARMED: HANDGUN,DEPARTMENT STORE,false,false,0613,006,21,71,03,1169761,1847097,2016,12/26/2016 03:47:26 PM,41.735931109,-87.653642482,"(41.735931109, -87.653642482)"
10788147,HZ557332,12/19/2016 02:22:00 PM,0000X E 71ST ST,031A,ROBBERY,ARMED: HANDGUN,DEPARTMENT STORE,false,false,0323,003,6,69,03,1178108,1857961,2016,12/26/2016 03:47:26 PM,41.765558228,-87.622733535,"(41.765558228, -87.622733535)"
10788160,HZ557645,12/19/2016 06:24:00 PM,001XX N MAYFIELD AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,true,false,1512,015,29,25,15,1137142,1900336,2016,12/26/2016 03:47:26 PM,41.882672634,-87.771874345,"(41.882672634, -87.771874345)"
10788197,HZ557437,12/19/2016 04:01:00 PM,048XX S ADA ST,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,0933,009,20,61,04B,1168148,1872591,2016,12/26/2016 03:47:26 PM,41.805924708,-87.658819421,"(41.805924708, -87.658819421)"
10788269,HZ557781,12/19/2016 07:39:00 PM,054XX W NORTH AVE,031A,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,false,false,2532,025,37,25,03,1139457,1910094,2016,12/26/2016 03:47:26 PM,41.909407901,-87.763135333,"(41.909407901, -87.763135333)"
10788287,HZ557819,12/19/2016 08:40:00 PM,094XX S INDIANA AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0634,006,6,49,03,1179251,1842527,2016,12/26/2016 03:47:26 PM,41.723179537,-87.619013704,"(41.723179537, -87.619013704)"
10788304,HZ557721,12/19/2016 06:58:00 PM,015XX E 55TH ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,false,false,0234,002,4,41,03,1187230,1868840,2016,12/26/2016 03:47:26 PM,41.795199431,-87.588953696,"(41.795199431, -87.588953696)"
10788331,HZ557756,12/19/2016 07:15:00 PM,049XX W KAMERLING AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,2533,025,37,25,03,1143283,1908530,2016,12/26/2016 03:47:26 PM,41.90504546,-87.749119239,"(41.90504546, -87.749119239)"
10788332,HZ557785,12/19/2016 07:45:00 PM,039XX W 16TH ST,031A,ROBBERY,ARMED: HANDGUN,PARKING LOT/GARAGE(NON.RESID.),false,false,1014,010,24,29,03,1150193,1891753,2016,12/26/2016 03:47:26 PM,41.858875593,-87.72417387,"(41.858875593, -87.72417387)"
10788339,HZ557799,12/19/2016 07:33:00 PM,013XX N LATROBE AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,2532,025,37,25,04B,1141131,1908400,2016,12/26/2016 03:47:26 PM,41.904728671,-87.757027516,"(41.904728671, -87.757027516)"
10788381,HZ557886,12/19/2016 09:30:00 PM,051XX W OHIO ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1532,015,28,25,03,1142124,1903522,2016,12/26/2016 03:47:26 PM,41.891324507,-87.75350099,"(41.891324507, -87.75350099)"
10788387,HZ557895,12/19/2016 09:29:00 PM,037XX W ARMITAGE AVE,031A,ROBBERY,ARMED: HANDGUN,CONVENIENCE STORE,false,false,2535,025,26,22,03,1150926,1913025,2016,12/26/2016 03:47:26 PM,41.917233894,-87.720925992,"(41.917233894, -87.720925992)"
10788409,HZ557707,12/19/2016 05:20:00 PM,096XX S GREENWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0511,005,8,50,03,1185238,1841229,2016,12/26/2016 03:47:26 PM,41.719479258,-87.597124749,"(41.719479258, -87.597124749)"
10788413,HZ557942,12/19/2016 10:16:00 PM,014XX S KEELER AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,APARTMENT,false,false,1011,010,24,29,15,1148617,1892804,2016,12/26/2016 03:47:26 PM,41.861790204,-87.729931778,"(41.861790204, -87.729931778)"
10788428,HZ557861,12/19/2016 06:05:00 PM,116XX S PRAIRIE AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,true,false,0532,005,9,53,15,1180005,1827591,2016,12/26/2016 03:47:26 PM,41.682175925,-87.616707135,"(41.682175925, -87.616707135)"
10788430,HZ557892,12/19/2016 10:15:00 PM,068XX S STONY ISLAND AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0332,003,5,43,03,1188038,1860051,2016,12/26/2016 03:47:26 PM,41.771062488,-87.586270811,"(41.771062488, -87.586270811)"
10788585,HZ557903,12/19/2016 10:20:00 PM,001XX N MAYFIELD AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,1512,015,29,25,03,1137139,1900444,2016,12/26/2016 03:47:26 PM,41.882969054,-87.771882766,"(41.882969054, -87.771882766)"
10788956,HZ557087,12/19/2016 11:30:00 AM,014XX W 47TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,true,0924,009,3,61,04A,1167352,1873577,2016,01/05/2017 03:52:33 PM,41.808647508,-87.661710591,"(41.808647508, -87.661710591)"
10790077,HZ557557,12/19/2016 05:03:00 PM,085XX S STONY ISLAND AVE,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0412,004,8,45,03,1188409,1848702,2016,12/26/2016 03:47:26 PM,41.739910947,-87.58527261,"(41.739910947, -87.58527261)"
10746477,HZ507607,11/08/2016 12:35:00 PM,047XX W VAN BUREN ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,1131,011,24,25,15,1144931,1897608,2016,01/02/2017 03:49:23 PM,41.875043276,-87.743341412,"(41.875043276, -87.743341412)"
10788448,HZ557983,12/20/2016 12:40:00 AM,051XX S LOOMIS BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,false,false,0934,009,16,61,03,1167866,1870720,2016,12/27/2016 03:49:32 PM,41.800796541,-87.659907455,"(41.800796541, -87.659907455)"
10788454,HZ557996,12/20/2016 01:00:00 AM,002XX W 38TH PL,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,CHA PARKING LOT/GROUNDS,false,false,0915,009,3,34,15,1175103,1879433,2016,12/27/2016 03:49:32 PM,41.824547169,-87.633106708,"(41.824547169, -87.633106708)"
10788458,HZ558011,12/20/2016 02:15:00 AM,054XX W AUGUSTA BLVD,031A,ROBBERY,ARMED: HANDGUN,APARTMENT,false,true,1524,015,37,25,03,1139815,1906132,2016,12/27/2016 03:49:32 PM,41.898529169,-87.76191713,"(41.898529169, -87.76191713)"
10788472,HZ557982,12/20/2016 12:50:00 AM,071XX S HARDING AVE,031A,ROBBERY,ARMED: HANDGUN,ALLEY,false,false,0833,008,13,65,03,1151267,1856953,2016,12/27/2016 03:49:32 PM,41.763358484,-87.721141509,"(41.763358484, -87.721141509)"
10788473,HZ558005,12/20/2016 01:58:00 AM,069XX S ARTESIAN AVE,033B,ROBBERY,ATTEMPT: ARMED-OTHER FIREARM,STREET,false,false,0832,008,15,66,03,1161239,1858586,2016,12/27/2016 03:49:32 PM,41.767639106,-87.684546729,"(41.767639106, -87.684546729)"
10788474,HZ558029,12/20/2016 03:45:00 AM,031XX W 77TH ST,031A,ROBBERY,ARMED: HANDGUN,STREET,false,false,0835,008,18,70,03,1156988,1853396,2016,12/27/2016 03:49:32 PM,41.753483876,-87.700268644,"(41.753483876, -87.700268644)"
10788567,HZ558066,12/20/2016 06:43:00 AM,090XX S DAUPHIN AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0633,006,8,44,04A,1183682,1845060,2016,12/27/2016 03:49:32 PM,41.730028342,-87.602704754,"(41.730028342, -87.602704754)"
10664925,HZ415578,08/31/2016 11:37:00 PM,071XX S PAULINA ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,true,false,0735,007,17,67,15,1166248,1857305,2016,12/27/2016 03:47:39 PM,41.764018721,-87.666222894,"(41.764018721, -87.666222894)"
10788740,HZ558169,12/20/2016 08:50:00 AM,012XX W 72ND PL,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,false,false,0734,007,17,67,04A,1169157,1856703,2016,12/27/2016 03:49:32 PM,41.762304351,-87.655578105,"(41.762304351, -87.655578105)"
10788763,HZ558122,12/20/2016 07:49:00 AM,0000X W CHECKPOINT 7A ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,AIRPORT TERMINAL UPPER LEVEL - SECURE AREA,true,false,1653,016,41,76,15,1101667,1934359,2016,12/27/2016 03:49:32 PM,41.976600326,-87.901514402,"(41.976600326, -87.901514402)"
