ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10508636,HZ250474,5/3/2016 23:15,039XX W FERDINAND ST,031A,ROBBERY,ARMED: HANDGUN,STREET,FALSE,FALSE,1122,11,27,23,3,1149886,1903045,2016,5/10/2016 15:56,41.8898681,-87.72500701,"(41.889868096, -87.725007009)"
10508638,HZ250436,5/3/2016 22:10,041XX W WASHINGTON BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,FALSE,FALSE,1114,11,28,26,08B,1148833,1900172,2016,5/10/2016 15:56,41.88200469,-87.72894843,"(41.882004688, -87.728948432)"
10508639,HZ250458,5/3/2016 22:32,037XX S HERMITAGE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,FALSE,FALSE,912,9,11,59,04A,1165297,1879931,2016,5/10/2016 15:56,41.82612741,-87.66906773,"(41.826127411, -87.669067732)"
10508640,HZ250462,5/3/2016 22:07,035XX W ROOSEVELT RD,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,TRUE,FALSE,1133,11,24,29,18,1153056,1894484,2016,5/10/2016 15:56,41.86631355,-87.71359232,"(41.866313546, -87.713592319)"
10508641,HZ250498,5/3/2016 22:31,066XX S WOLCOTT AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,RESIDENCE,FALSE,FALSE,726,7,15,67,15,1164826,1860717,2016,5/10/2016 15:56,41.77341186,-87.67133862,"(41.773411857, -87.671338619)"
10508642,HZ250510,5/3/2016 22:45,027XX W FLOURNOY ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,FALSE,TRUE,1135,11,2,27,04A,1158269,1896922,2016,5/10/2016 15:56,41.8728988,-87.69438824,"(41.872898796, -87.694388235)"
10508643,HZ250401,5/3/2016 21:00,075XX S PARNELL AVE,560,ASSAULT,SIMPLE,RESIDENCE,FALSE,TRUE,621,6,17,69,08A,1173854,1854872,2016,5/10/2016 15:56,41.75717702,-87.63841721,"(41.757177021, -87.638417211)"
10508644,HZ250244,5/3/2016 19:13,076XX S HALSTED ST,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,621,6,17,71,08B,1172289,1854291,2016,5/10/2016 15:56,41.75561723,-87.64416974,"(41.755617231, -87.644169735)"
10508646,HZ250293,5/3/2016 19:45,080XX S VERNON AVE,460,BATTERY,SIMPLE,APARTMENT,FALSE,FALSE,631,6,6,44,08B,1180637,1851854,2016,5/10/2016 15:56,41.74874226,-87.61365127,"(41.748742255, -87.613651268)"
10508647,HZ250404,5/3/2016 20:56,063XX S GREENWOOD AVE,460,BATTERY,SIMPLE,STREET,FALSE,FALSE,314,3,20,42,08B,1184492,1863348,2016,5/10/2016 15:56,41.78019354,-87.59916581,"(41.78019354, -87.599165812)"
10508648,HZ250445,5/3/2016 22:10,073XX S MERRILL AVE,520,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,TRUE,TRUE,333,3,5,43,04A,1191823,1856785,2016,5/10/2016 15:56,41.76200927,-87.57250252,"(41.762009273, -87.572502518)"
